Latitude,Longitude,SNR
N/A,N/A,0.12
35.51041,-97.59839,0.12
35.1141888,-97.9238912,0.12
36.1070592,-97.0555392,0.12
33.8919424,-98.5235456,0.12
35.4211879,-97.4079333,0.12
N/A,N/A,0.12
35.454976,-97.6355328,0.12
35.454976,-97.6355328,0.12
35.1010816,-97.910784,0.12
35.6130756,-97.452495,0.12
35.520512,-97.5962112,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
36.103307,-96.0409908,0.12
35.2452608,-97.3996032,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.4287616,-97.4258176,0.12
N/A,N/A,0.12
35.6450304,-97.4848,0.12
36.0972288,-96.0233472,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.6614144,-97.5273984,0.12
35.6614144,-97.5208448,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.1010816,-97.910784,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.454976,-97.6093184,0.12
35.454976,-97.452032,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.373056,-97.5273984,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.6502956,-97.5520429,0.12
35.3632256,-97.5437824,0.12
N/A,N/A,0.12
35.6253696,-97.5437824,0.12
35.4156544,-97.5437824,0.12
35.3632256,-97.5437824,0.12
N/A,N/A,0.12
35.6777984,-97.5437824,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.5729408,-97.64864,0.12
35.5904558,-97.6713691,0.12
35.6122624,-97.5306752,0.12
N/A,N/A,0.12
35.5729408,-97.64864,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.6483072,-97.5536128,0.12
35.5467264,-97.6224256,0.12
N/A,N/A,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.552064,-97.5244665,0.12
N/A,N/A,0.12
N/A,N/A,0.12
35.47136,-97.5273984,0.12
35.6253696,-97.4389248,0.12
